book_id,chap_id,term_str,n,tf,tfidf,max_pos,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
1245,25,advise,1,0.005291005291005291,0.023012745139203542,VB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023012745139203542,0.023012745139203542
1245,25,afraid,2,0.010582010582010581,0.017722847810620494,JJ,0.0,0.0,0.0,0.017722847810620494,0.0,0.0,0.0,0.0,-0.017722847810620494
1245,25,agitated,1,0.005291005291005291,0.025015452140546023,JJ,0.025015452140546023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025015452140546023
1245,25,agreed,3,0.015873015873015872,0.03148824379353633,VBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03148824379353633,0.03148824379353633
1245,25,airs,1,0.005291005291005291,0.02671877539391831,NN,0.0,0.0,0.02671877539391831,0.0,0.0,0.0,0.0,0.0,-0.02671877539391831
1245,25,amusement,1,0.005291005291005291,0.016888188118111054,NN,0.0,0.0,0.0,0.0,0.016888188118111054,0.0,0.0,0.0,0.016888188118111054
1245,25,ashamed,1,0.005291005291005291,0.016888188118111054,VBN,0.0,0.0,0.016888188118111054,0.0,0.0,0.016888188118111054,0.0,0.0,-0.016888188118111054
1245,25,assured,1,0.005291005291005291,0.01637911237599834,VBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01637911237599834,0.01637911237599834
1245,25,bad,2,0.010582010582010581,0.013703291505683522,JJ,0.013703291505683522,0.0,0.013703291505683522,0.013703291505683522,0.0,0.013703291505683522,0.0,0.0,-0.013703291505683522
1245,25,badly,1,0.005291005291005291,0.017156050938587075,RB,0.0,0.0,0.0,0.0,0.0,0.017156050938587075,0.0,0.0,-0.017156050938587075
1245,25,bear,1,0.005291005291005291,0.015237690730202376,VB,0.015237690730202376,0.0,0.0,0.015237690730202376,0.0,0.0,0.0,0.0,0.0
1245,25,beauty,1,0.005291005291005291,0.009047611357491728,NN,0.0,0.0,0.0,0.0,0.009047611357491728,0.0,0.0,0.0,0.009047611357491728
1245,25,black,1,0.005291005291005291,0.005984049270772312,JJ,0.0,0.0,0.0,0.0,0.0,0.005984049270772312,0.0,0.0,-0.005984049270772312
1245,25,blindly,1,0.005291005291005291,0.02142777010291302,RB,0.0,0.0,0.0,0.0,0.0,0.02142777010291302,0.0,0.0,-0.02142777010291302
1245,25,broke,1,0.005291005291005291,0.008075590441235707,VBD,0.0,0.0,0.0,0.008075590441235707,0.0,0.008075590441235707,0.0,0.0,-0.008075590441235707
1245,25,case,1,0.005291005291005291,0.00877000596122646,NN,0.0,0.0,0.0,0.00877000596122646,0.0,0.00877000596122646,0.0,0.0,-0.00877000596122646
1245,25,catastrophe,1,0.005291005291005291,0.025819701312212957,NN,0.025819701312212957,0.0,0.025819701312212957,0.025819701312212957,0.0,0.025819701312212957,0.025819701312212957,0.0,-0.025819701312212957
1245,25,caution,2,0.010582010582010581,0.05547612304119531,NN,0.05547612304119531,0.05547612304119531,0.0,0.05547612304119531,0.0,0.0,0.0,0.0,-0.05547612304119531
1245,25,cautious,1,0.005291005291005291,0.032009780684923606,JJ,0.0,0.032009780684923606,0.0,0.032009780684923606,0.0,0.0,0.0,0.032009780684923606,0.032009780684923606
1245,25,child,1,0.005291005291005291,0.009635078618807833,NN,0.0,0.009635078618807833,0.0,0.0,0.009635078618807833,0.0,0.0,0.0,0.009635078618807833
1245,25,concealed,1,0.005291005291005291,0.016629407163185412,VBN,0.0,0.016629407163185412,0.0,0.016629407163185412,0.0,0.0,0.016629407163185412,0.0,-0.016629407163185412
1245,25,concerned,1,0.005291005291005291,0.015901875291492635,VBN,0.0,0.0,0.0,0.015901875291492635,0.0,0.015901875291492635,0.0,0.0,0.0
1245,25,continue,1,0.005291005291005291,0.019724446849540736,VB,0.0,0.019724446849540736,0.0,0.0,0.0,0.0,0.0,0.019724446849540736,0.019724446849540736
1245,25,creature,1,0.005291005291005291,0.0183327304165577,NN,0.0,0.0,0.0183327304165577,0.0183327304165577,0.0,0.0,0.0,0.0,-0.0183327304165577
1245,25,credit,1,0.005291005291005291,0.020528696021207667,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020528696021207667,0.020528696021207667
1245,25,deal,1,0.005291005291005291,0.010845759520902441,NN,0.0,0.010845759520902441,0.0,0.0,0.010845759520902441,0.0,0.010845759520902441,0.010845759520902441,0.010845759520902441
1245,25,defiance,1,0.005291005291005291,0.030306457431551314,NN,0.030306457431551314,0.0,0.030306457431551314,0.030306457431551314,0.0,0.0,0.0,0.0,-0.030306457431551314
